,varlength,projectid,percentage
0,1,98915,4.8877012165
1,2,95904,4.73891823755
2,3,61518,3.03979784094
3,4,196651,9.7171443353
4,5,315192,15.5746279314
5,6,225222,11.128927295
6,7,178525,8.82148167291
7,8,168339,8.31815938012
8,9,137192,6.77908815947
9,10,124016,6.12802056377
10,11,101874,5.03391471192
11,12,75011,3.70652940354
12,13,70067,3.46223081572
13,14,40405,1.99653811508
14,15,36244,1.79093001962
15,16,18942,0.935983788535
16,17,19060,0.94181453962
17,18,13631,0.673550576577
18,19,10733,0.530351282988
19,20,7633,0.377170534151
20,21,6033,0.298109502494
21,22,3665,0.181099175641
22,23,3091,0.152736030533
23,24,3009,0.148684152661
24,25,1624,0.0802469471324
25,26,3643,0.180012086455
26,27,1131,0.0558862667529
27,28,910,0.0449659617552
28,29,840,0.0415070416202
29,30,914,0.0451636143344
30,31,577,0.0285113845415
31,32,944,0.0466460086779
32,33,451,0.0222853282985
33,34,235,0.0116120890247
34,35,214,0.0105744129842
35,36,196,0.00968497637805
36,37,62,0.00306361497673
37,38,85,0.00420011730681
38,39,136,0.00672018769089
39,40,124,0.00612722995346
40,41,158,0.00780727687618
41,42,54,0.00266830981844
42,43,21,0.0010376760405
43,44,45,0.00222359151537
44,45,16,0.000790610316575
45,46,210,0.010376760405
46,47,5,0.00024706572393
47,48,50,0.0024706572393
48,49,5,0.00024706572393
49,50,18,0.000889436606147
50,51,5,0.00024706572393
51,52,2,9.88262895719e-05
52,53,7,0.000345892013502
53,54,39,0.00192711264665
54,55,24,0.00118591547486
55,56,1,4.94131447859e-05
56,57,17,0.000840023461361
57,58,26,0.00128474176443
58,59,22,0.00108708918529
59,60,1,4.94131447859e-05
60,61,1,4.94131447859e-05
61,63,8,0.000395305158288
62,64,2,9.88262895719e-05
63,66,2,9.88262895719e-05
64,68,3,0.000148239434358
65,70,1,4.94131447859e-05
66,71,4,0.000197652579144
67,72,1,4.94131447859e-05
68,73,6,0.000296478868716
69,77,1,4.94131447859e-05
70,78,4,0.000197652579144
71,93,1,4.94131447859e-05
72,97,3,0.000148239434358
73,98,16,0.000790610316575
74,101,1,4.94131447859e-05
75,104,6,0.000296478868716
76,112,2,9.88262895719e-05
77,127,2,9.88262895719e-05
78,145,3,0.000148239434358
79,250,2,9.88262895719e-05
