,Unnamed: 0,varname,number_of_spaces,firstCharisLetter,argument,varlength,datatype,vartype,projectid
0,11,x,0,True,0,1,int,char,10541430
2,378,seconds,0,True,0,7,int,string,12030146
3,379,minutes,0,True,0,7,int,string,12030146
4,380,score,0,True,0,5,int,string,12030146
9,570,Top 3,1,True,Top 3,5,list,string,12030146
11,583,visnigar,0,True,1,8,int,string,12030146
12,585,2,0,False,2,1,int,int,12030146
13,595,i,0,True,0,1,int,char,12030146
15,614,max i,1,True,0,5,int,string,12030146
16,615,max,0,True,0,3,int,string,12030146
20,724,Lose,0,True,1,4,int,string,12441584
22,748,speed,0,True,3,5,int,string,12441584
28,1010,X?,0,True,1,2,int,string,12683181
30,1039,Recent,0,True,Recent,6,list,string,12683181
32,1065,Clicks,0,True,0,6,int,string,12683181
33,1109,forward mode,1,True,0,12,int,string,13223646
36,1122,Score,0,True,0,5,int,string,13223646
37,1123,shark size,1,True,30,10,int,string,13223646
42,1156,fish size 2,2,True,15,11,int,string,13223646
48,1231,timer 2,1,True,0,7,int,string,13223646
52,1288,fish size 3,2,True,15,11,int,string,13223646
58,1339,timer 3,1,True,0,7,int,string,13223646
62,1373,fish size 1,2,True,15,11,int,string,13223646
63,1448,timer 1,1,True,0,7,int,string,13223646
67,1523,fish speed,1,True,3,10,int,string,13223646
69,1718,Turbo,0,True,1,5,int,string,14073938
70,2160,Virtue,0,True,0,6,int,string,14137046
73,2278,maxSpeed,0,True,10,8,int,string,14137046
74,2287,xVelocity,0,True,-0.5,9,float,string,14137046
76,2307,yVelocity,0,True,0,9,int,string,14137046
83,2327,Vice,0,True,1,4,int,string,14137046
95,2373,Level,0,True,1,5,int,string,14137046
111,2827,x_velocity,0,True,0,10,int,string,15086346
112,2828,y_velocity,0,True,0,10,int,string,15086346
113,2839,currentCount,0,True,-1,12,int,string,15086346
114,2893,Starlings,0,True,200,9,int,string,15086346
116,2895,m,0,True,0.1,1,float,char,15086346
117,2896,v,0,True,0.999,1,float,char,15086346
122,2929,height,0,True,30,6,int,string,15141278
127,3068,Degree,0,True,45,6,int,string,15529084
131,3116,Total Guess,1,True,0,11,int,string,15548188
132,3117,Guess,0,True,0,5,int,string,15548188
133,3118,HighValue,0,True,100,9,int,string,15548188
134,3119,LowValue,0,True,0,8,int,string,15548188
135,3120,Indicator,0,True,0,9,int,string,15548188
137,3207,Buttonpart,0,True,0,10,int,string,15649432
138,3208,Number,0,True,0,6,int,string,15649432
139,3239,Area,0,True,2,4,int,string,15649432
142,3334,MDP,0,True,MDP,3,list,string,15649432
143,3335,USERNAME,0,True,USERNAME,8,list,string,15649432
144,3337,USERLOG,0,True,USERLOG,7,list,string,15649432
379,4475,Save data,1,True,save,9,string,string,15649432
381,4632,????????????????,0,False,1,16,int,string,15819951
398,4885,Bounce Count,1,True,1,12,int,string,16306675
399,4886,velocity,0,True,0,8,int,string,16306675
406,5027,gravity,0,True,-.25,7,float,string,16306675
411,5145,_Inv,0,False,_Inv,4,list,string,16661984
412,5146,_InvPos,0,False,_InvPos,7,list,string,16661984
418,5157,__lastSky,0,False,-1,9,int,string,16661984
419,5172,_LIGHTING,0,False,600,9,int,string,16661984
421,5175,DEBUG,0,True,DEBUG,5,list,string,16661984
422,5178,_REFSIZE,0,False,6,8,int,string,16661984
423,5179,_DMUL,0,False,21,5,int,string,16661984
424,5180,_GLight,0,False,0,7,int,string,16661984
425,5182,_NextSelID,0,False,1,10,int,string,16661984
426,5183,_SpriteCount,0,False,0,12,int,string,16661984
427,5184,_ForceDelay,0,False,2,11,int,string,16661984
428,5185,_HeldC,0,False,0,6,int,string,16661984
429,5186,_HeldInvID,0,False,0,10,int,string,16661984
430,5187,_Lighting?,0,False,0,10,int,string,16661984
431,5189,_MaxHarvest,0,False,10,11,int,string,16661984
432,5193,_Sound,0,False,1,6,int,string,16661984
433,5194,_KeyDelayTrick,0,False,0,14,int,string,16661984
437,5276,_Creative?,0,False,1,10,int,string,16661984
439,5301,_Survival,0,False,0,9,int,string,16661984
441,5347,_Speak,0,False,Key Lag Trick Off,6,string,string,16661984
445,5371,_RefData,0,False,_RefData,8,list,string,16661984
446,5395,Rand,0,True,Rand,4,list,string,16661984
447,5415,y_g,0,True,1,3,int,string,16661984
448,5427,i_g,0,True,1,3,int,string,16661984
449,5445,total_g,0,True,-1,7,int,string,16661984
451,5497,_RandIdx,0,False,1,8,int,string,16661984
452,5498,_LCopy,0,False,_LCopy,6,list,string,16661984
455,5515,voff,0,True,0,4,int,string,16661984
460,5543,debug,0,True,1,5,int,string,16661984
481,5654,t2,0,True,0,2,int,string,16661984
483,5687,t,0,True,-1,1,int,char,16661984
488,5722,BMUL,0,True,9,4,int,string,16661984
489,5723,_GEN_VERSION,0,False,1,12,int,string,16661984
490,5731,_BiomeID,0,False,0,8,int,string,16661984
492,5733,_RANDOM,0,False,_RANDOM,7,list,string,16661984
499,5782,y,0,True,-1,1,int,char,16661984
501,5796,_Light,0,False,16,6,list,string,16661984
506,5870,_Level,0,False,6,6,list,string,16661984
507,5877,RNDStack,0,True,RNDStack,8,list,string,16661984
510,5880,_LevelRef,0,False,_LevelRef,9,list,string,16661984
512,5882,_RefPool,0,False,_RefPool,8,list,string,16661984
513,5883,tree,0,True,tree,4,list,string,16661984
514,5884,_Grow,0,False,_Grow,5,list,string,16661984
515,5885,_GrowTime,0,False,_GrowTime,9,list,string,16661984
517,5887,_LightMod,0,False,_LightMod,9,list,string,16661984
518,5888,_Harvest,0,False,_Harvest,8,list,string,16661984
519,5889,_NextHarvest,0,False,_NextHarvest,12,list,string,16661984
520,5892,_Inside,0,False,_Inside,7,list,string,16661984
521,5893,_Mob,0,False,_Mob,4,list,string,16661984
523,5932,altitude,0,True,altitude,8,list,string,16661984
524,5958,water Tile ID,2,True,38,13,int,string,16661984
525,5959,vmul,0,True,0,4,int,string,16661984
527,5961,biomeType,0,True,N,9,char,string,16661984
551,6226,sand,0,True,0,4,int,string,16661984
567,6345,_Menu,0,False,_Menu,5,list,string,16661984
568,6346,_lsx,0,False,200,4,int,string,16661984
569,6347,_lsy,0,False,128,4,int,string,16661984
570,6348,_WaterLevel,0,False,57,11,int,string,16661984
599,6530,i_z3,0,True,1,4,int,string,16661984
625,6751,seed,0,True,1000000,4,int,string,16661984
630,6757,_fcount,0,False,0,7,int,string,16661984
631,6763,growIdx,0,True,1,7,int,string,16661984
632,6785,pr_hl_idx,0,True,1,9,int,string,16661984
635,6950,sy,0,True,-0.04,2,float,string,16661984
637,7019,baseTile,0,True,38,8,int,string,16661984
639,7060,canFlow,0,True,0,7,int,string,16661984
642,7243,throttle,0,True,6,8,int,string,16661984
643,7259,KeyDelay,0,True,-0.2,8,float,string,16661984
644,7262,count_pr,0,True,0,8,int,string,16661984
645,7273,refIdx_pr,0,True,1,9,int,string,16661984
656,7521,tile_pr,0,True,1,7,int,string,16661984
661,7653,gt_i,0,True,4,4,int,string,16661984
662,7720,refTile_pr,0,True,1,10,int,string,16661984
665,7775,bringToLife,0,True,3000,11,int,string,16661984
669,7882,_DamageArmor,0,False,1,12,int,string,16661984
671,7923,sis_typ,0,True,#,7,char,string,16661984
672,7978,saturation,0,True,0,10,int,string,16661984
683,8083,flowBase,0,True,38,8,int,string,16661984
686,8091,checkTile_pr,0,True,1,12,int,string,16661984
690,8133,D,0,True,D,1,list,char,16661984
695,8237,f,0,True,f,1,list,char,16661984
698,8264,isBlock_pr,0,True,1,10,int,string,16661984
700,8450,o,0,True,o,1,list,char,16661984
706,8605,r,0,True,r,1,list,char,16661984
710,8757,depth,0,True,0,5,int,string,16661984
