mergeNameType,Name,Namelower,Type,projectid
A---char,A,a,char,1
A---float,A,a,float,1
A---int,A,a,int,115
A---list,A,a,list,14
A---string,A,a,string,5
B---char,B,b,char,1
B---float,B,b,float,2
B---int,B,b,int,92
B---list,B,b,list,11
B---string,B,b,string,1
C---char,C,c,char,1
C---int,C,c,int,98
C---list,C,c,list,18
C---string,C,c,string,6
D---float,D,d,float,1
D---int,D,d,int,41
D---list,D,d,list,159
D---string,D,d,string,3
E---float,E,e,float,1
E---int,E,e,int,39
E---list,E,e,list,4
F---char,F,f,char,1
F---int,F,f,int,34
F---list,F,f,list,7
F---string,F,f,string,2
G---float,G,g,float,26
G---int,G,g,int,26
G---list,G,g,list,5
G---string,G,g,string,1
H---int,H,h,int,8
H---list,H,h,list,3
H---string,H,h,string,3
I---char,I,i,char,2
I---float,I,i,float,1
I---int,I,i,int,45
J---int,J,j,int,6
J---list,J,j,list,4
K---float,K,k,float,1
K---int,K,k,int,12
K---list,K,k,list,3
K---string,K,k,string,1
L---int,L,l,int,42
L---list,L,l,list,3
M---char,M,m,char,1
M---float,M,m,float,1
M---int,M,m,int,15
M---list,M,m,list,4
M---string,M,m,string,1
N---char,N,n,char,1
N---int,N,n,int,32
N---list,N,n,list,3
N---string,N,n,string,2
O---int,O,o,int,7
O---list,O,o,list,6
P---int,P,p,int,70
P---list,P,p,list,7
Q---int,Q,q,int,9
Q---list,Q,q,list,7
Q---string,Q,q,string,1
R---char,R,r,char,1
R---float,R,r,float,1
R---int,R,r,int,45
R---list,R,r,list,25
R---string,R,r,string,2
S---float,S,s,float,1
S---int,S,s,int,28
S---list,S,s,list,7
S---string,S,s,string,2
T---int,T,t,int,22
T---list,T,t,list,3
T---string,T,t,string,1
U---int,U,u,int,7
U---string,U,u,string,7
V---float,V,v,float,13
V---int,V,v,int,27
V---list,V,v,list,1
W---int,W,w,int,9
W---list,W,w,list,1
X---char,X,x,char,1
X---float,X,x,float,23
X---int,X,x,int,528
X---list,X,x,list,192
X---string,X,x,string,1
Y---char,Y,y,char,1
Y---float,Y,y,float,45
Y---int,Y,y,int,454
Y---list,Y,y,list,72
Y---string,Y,y,string,2
Z---float,Z,z,float,1
Z---int,Z,z,int,43
Z---list,Z,z,list,3
Z---string,Z,z,string,5
a---char,a,a,char,4
a---float,a,a,float,137
a---int,a,a,int,642
a---list,a,a,list,10
a---string,a,a,string,6
b---char,b,b,char,1
b---float,b,b,float,9
b---int,b,b,int,1250
b---list,b,b,list,9
b---string,b,b,string,10
c---char,c,c,char,150
c---float,c,c,float,4
c---int,c,c,int,623
c---list,c,c,list,5
c---string,c,c,string,30
d---char,d,d,char,2
d---float,d,d,float,11
d---int,d,d,int,252
d---list,d,d,list,4
d---string,d,d,string,2
e---char,e,e,char,1
e---float,e,e,float,2
e---int,e,e,int,47
e---list,e,e,list,2
f---char,f,f,char,2
f---float,f,f,float,1
f---int,f,f,int,51
f---list,f,f,list,159
f---string,f,f,string,7
g---char,g,g,char,1
g---float,g,g,float,19
g---int,g,g,int,206
g---list,g,g,list,21
g---string,g,g,string,7
h---char,h,h,char,1
h---float,h,h,float,2
h---int,h,h,int,37
h---list,h,h,list,4
h---string,h,h,string,1
i---char,i,i,char,4
i---float,i,i,float,71
i---int,i,i,int,2199
i---list,i,i,list,4
i---string,i,i,string,83
j---float,j,j,float,1
j---int,j,j,int,346
j---list,j,j,list,3
j---string,j,j,string,2
k---char,k,k,char,2
k---float,k,k,float,9
k---int,k,k,int,140
k---list,k,k,list,4
k---string,k,k,string,3
l---float,l,l,float,3
l---int,l,l,int,218
l---list,l,l,list,3
l---string,l,l,string,1
m---char,m,m,char,4
m---float,m,m,float,6
m---int,m,m,int,103
m---list,m,m,list,5
n---float,n,n,float,55
n---int,n,n,int,249
n---list,n,n,list,2
n---string,n,n,string,2
o---int,o,o,int,41
o---list,o,o,list,133
p---char,p,p,char,4
p---float,p,p,float,3
p---int,p,p,int,147
p---list,p,p,list,4
p---string,p,p,string,13
q---float,q,q,float,1
q---int,q,q,int,33
q---list,q,q,list,3
q---string,q,q,string,1
r---float,r,r,float,5
r---int,r,r,int,215
r---list,r,r,list,132
r---string,r,r,string,8
s---char,s,s,char,2
s---float,s,s,float,5
s---int,s,s,int,193
s---list,s,s,list,6
s---string,s,s,string,2
t---float,t,t,float,91
t---int,t,t,int,472
t---list,t,t,list,5
t---string,t,t,string,1
u---float,u,u,float,3
u---int,u,u,int,18
u---list,u,u,list,2
v---float,v,v,float,106
v---int,v,v,int,157
v---list,v,v,list,4
v---string,v,v,string,2
w---float,w,w,float,1
w---int,w,w,int,126
w---list,w,w,list,4
w---string,w,w,string,1
x---char,x,x,char,3
x---float,x,x,float,337
x---int,x,x,int,2005
x---list,x,x,list,176
x---string,x,x,string,9
y---char,y,y,char,3
y---float,y,y,float,636
y---int,y,y,int,1924
y---list,y,y,list,161
y---string,y,y,string,1
z---char,z,z,char,1
z---float,z,z,float,35
z---int,z,z,int,134
z---list,z,z,list,4
z---string,z,z,string,11
