varlength,projectid,percentage
1,361,0.58577270072
2,612,0.993055104822
3,2647,4.29512559226
4,6067,9.84455117804
5,4673,7.58259232816
6,3612,5.86097228532
7,3396,5.51048224833
8,3610,5.8577270072
9,3702,6.00700980074
10,3538,5.74089699487
11,3303,5.35957681573
12,3109,5.04478483806
13,2742,4.44927630298
14,2743,4.45089894204
15,2412,3.91380541312
16,2214,3.59252287921
17,1519,2.46478873239
18,1608,2.60920360875
19,1215,1.9715064581
20,1435,2.32848705134
21,1304,2.11592133446
22,685,1.11150775621
23,861,1.3970922308
24,626,1.01577205166
25,604,0.980073992341
26,389,0.631206594405
27,317,0.514376582073
28,381,0.618225481924
29,118,0.1914714091
30,277,0.449471019666
31,86,0.139546959174
32,297,0.48192380087
33,68,0.110339456091
34,177,0.28720711365
35,39,0.0632829233465
36,79,0.128188485753
37,91,0.147660154475
38,67,0.108716817031
39,143,0.232037385604
40,137,0.222301551243
41,17,0.0275848640228
42,39,0.0632829233465
43,9,0.0146037515415
44,16,0.0259622249627
45,15,0.0243395859025
46,31,0.0503018108652
47,40,0.0649055624067
48,12,0.019471668722
49,34,0.0551697280457
50,14,0.0227169468423
51,9,0.0146037515415
52,10,0.0162263906017
54,2,0.00324527812033
55,2,0.00324527812033
56,7,0.0113584734212
57,4,0.00649055624067
58,3,0.0048679171805
59,17,0.0275848640228
60,1,0.00162263906017
61,1,0.00162263906017
63,1,0.00162263906017
64,1,0.00162263906017
65,8,0.0129811124813
66,1,0.00162263906017
68,6,0.009735834361
69,1,0.00162263906017
70,2,0.00324527812033
72,28,0.0454338936847
73,2,0.00324527812033
79,2,0.00324527812033
80,8,0.0129811124813
81,2,0.00324527812033
82,1,0.00162263906017
87,4,0.00649055624067
101,1,0.00162263906017
111,1,0.00162263906017
114,4,0.00649055624067
117,2,0.00324527812033
138,1,0.00162263906017
160,1,0.00162263906017
207,1,0.00162263906017
238,1,0.00162263906017
250,2,0.00324527812033
