len,scratch
1,7766
2,6142
3,6629
4,16212
5,34323
6,19712
7,14027
8,13405
9,11712
10,10608
11,8090
12,7772
13,6748
14,5139
15,4422
16,2980
17,3442
18,2357
19,1482
20,1444
21,1116
22,836
23,574
24,540
25,524
26,533
27,230
28,204
29,110
30,138
31,171
32,70
33,96
34,58
35,54
36,47
37,23
38,22
39,38
40,29
41,35
42,19
43,6
44,14
45,7
46,29
47,5
48,22
49,3
50,5
51,3
52,2
53,4
54,31
55,8
56,1
57,6
58,25
59,2
60,1
61,1
63,2
64,1
66,1
68,2
70,1
71,3
72,1
73,3
77,1
78,4
93,1
97,1
98,2
101,1
104,1
112,1
127,1
145,1
250,1
