varlength,projectid,percentage
1,7766,4.08558366608
2,6142,3.23122004598
3,6629,3.48742391482
4,16212,8.52890579378
5,34323,18.0568488502
6,19712,10.3702066992
7,14027,7.37940794285
8,13405,7.05218246766
9,11712,6.16151891542
10,10608,5.58072000126
11,8090,4.25603552132
12,7772,4.08874018192
13,6748,3.5500281456
14,5139,2.70355581509
15,4422,2.32635217247
16,2980,1.56773619945
17,3442,1.81078791896
18,2357,1.23998463829
19,1482,0.779659411941
20,1444,0.759668144968
21,1116,0.587111945834
22,836,0.439807873403
23,574,0.301973348485
24,540,0.284086425404
25,524,0.275669049836
26,533,0.280403823593
27,230,0.120999773783
28,204,0.107321538486
29,110,0.0578694570267
30,138,0.0725998642698
31,171,0.0899607013778
32,70,0.0368260181079
33,96,0.0505042534051
34,58,0.0305129864322
35,54,0.0284086425404
36,47,0.0247260407296
37,23,0.0120999773783
38,22,0.0115738914053
39,38,0.0199912669728
40,29,0.0152564932161
41,35,0.0184130090539
42,19,0.00999563348642
43,6,0.00315651583782
44,14,0.00736520362158
45,7,0.00368260181079
46,29,0.0152564932161
47,5,0.00263042986485
48,22,0.0115738914053
49,3,0.00157825791891
50,5,0.00263042986485
51,3,0.00157825791891
52,2,0.00105217194594
53,4,0.00210434389188
54,31,0.0163086651621
55,8,0.00420868778376
56,1,0.00052608597297
57,6,0.00315651583782
58,25,0.0131521493242
59,2,0.00105217194594
60,1,0.00052608597297
61,1,0.00052608597297
63,2,0.00105217194594
64,1,0.00052608597297
66,1,0.00052608597297
68,2,0.00105217194594
70,1,0.00052608597297
71,3,0.00157825791891
72,1,0.00052608597297
73,3,0.00157825791891
77,1,0.00052608597297
78,4,0.00210434389188
93,1,0.00052608597297
97,1,0.00052608597297
98,2,0.00105217194594
101,1,0.00052608597297
104,1,0.00052608597297
112,1,0.00052608597297
127,1,0.00052608597297
145,1,0.00052608597297
250,1,0.00052608597297
