varlength,projectid,percentage
1,98915,4.887701217
2,95904,4.738918238
3,61518,3.039797841
4,196651,9.717144335
5,315192,15.57462793
6,225222,11.1289273
7,178525,8.821481673
8,168339,8.31815938
9,137192,6.779088159
10,124016,6.128020564
11,101874,5.033914712
12,75011,3.706529404
13,70067,3.462230816
14,40405,1.996538115
15,36244,1.79093002
16,18942,0.935983789
17,19060,0.94181454
18,13631,0.673550577
19,10733,0.530351283
20 plus,36312,1.794290113
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
