,varlength,projectid
0,1,7766
1,2,6142
2,3,6629
3,4,16212
4,5,34323
5,6,19712
6,7,14027
7,8,13405
8,9,11712
9,10,10608
10,11,8090
11,12,7772
12,13,6748
13,14,5139
14,15,4422
15,16,2980
16,17,3442
17,18,2357
18,19,1482
19,20,1444
20,21,1116
21,22,836
22,23,574
23,24,540
24,25,524
25,26,533
26,27,230
27,28,204
28,29,110
29,30,138
30,31,171
31,32,70
32,33,96
33,34,58
34,35,54
35,36,47
36,37,23
37,38,22
38,39,38
39,40,29
40,41,35
41,42,19
42,43,6
43,44,14
44,45,7
45,46,29
46,47,5
47,48,22
48,49,3
49,50,5
50,51,3
51,52,2
52,53,4
53,54,31
54,55,8
55,56,1
56,57,6
57,58,25
58,59,2
59,60,1
60,61,1
61,63,2
62,64,1
63,66,1
64,68,2
65,70,1
66,71,3
67,72,1
68,73,3
69,77,1
70,78,4
71,93,1
72,97,1
73,98,2
74,101,1
75,104,1
76,112,1
77,127,1
78,145,1
79,250,1
