varname,projectid
score,14736
time,3679
speed,3490
level,2861
x,2735
y,2597
lives,2569
i,2244
points,2224
timer,2185
health,1906
gravity,1660
y vel,1649
yv,1500
costume,1432
b,1370
xv,1343
count,1146
letter,1096
scrollx,979
dialogue,954
hp,922
id,912
size,883
??????,860
life,829
yvel,812
????????????,800
a,799
coins,786
c,762
debug,760
puntos,710
deaths,701
jump,605
mode,561
sy,551
velocity,545
testforlet,542
counter,536
frame,532
number,518
sx,512
xvel,510
direction,507
t,506
turn,506
projects,485
_chars,470
d,461
?????????,457
y velocity,451
distance,435
money,426
i2,422
r,418
gameover,406
#,403
distance traveled,401
game,389
music,389
inventory,385
tmp,384
type,372
yvelocity,370
j,358
name,358
onfloor,358
state,354
i3,352
wait,352
shakex,350
shakey,350
tomato,349
1,346
_level,345
clone?,345
volume,344
dead,341
hungry,341
speedb,340
player id,339
x velocity,339
ghost,337
data,335
_y,329
vidas,329
parseidx,327
player data,324
start,322
@broadcast,318
cloud data,318
@playernames,316
@master id,315
@max players,315
@player count,315
@player id,315
@playerdata,315
_broadcast,315
_change,315
master time,315
pmul,315
send ok,315
ticktock,315
time_out,315
buffertime,314
game revision,314
glitches,314
last count,314
playery,314
show debug,313
playerx,311
color,310
length,305
xvelocity,305
index,303
hits,299
dir,296
progress,296
g,295
ly,292
stop,291
tryplayerid,291
_console,290
@offline,288
isclone,287
n,287
status,285
light,281
clone,280
walkframe,280
digidx,279
yy,276
t2,273
difficulty,269
velocitat,268
x vel,268
xx,267
l,264
pause,259
f,256
hit,254
done,253
x2,251
????????,248
depth,248
zoom,248
time left,247
movecounter,246
speed y,245
_mob,244
high score,243
move,243
tempy,243
scores,239
p,237
_mode,236
s,235
2,234
guess,233
_inv,231
timeout,231
_tick,230
idx,229
player 1,226
invid,225
power,224
# of hits,223
_ticks,223
slope,223
temp,223
_light,221
menu,220
player 2,218
vspeed,218
sz,215
wallbelow,215
wallleft,215
wallright,215
number of guesses,214
sound,214
wallabove,214
scrolly,212
v,212
costumecount,211
tree,211
levelcompleted,210
mariohit,210
???????????????,209
answer,209
count2,209
directionmario,209
numberoflevels,209
player,209
movedirection,208
@playeroffset,207
clones,207
flagy,207
mariomoves,207
marioonflag,207
moveleftright,207
wallactive,207
wallactivetimer,207
mariohittime,206
statecounter,206
waitfornexthit,206
ammo,205
punkty,205
waitnextlevelcounter,205
digit,204
launcherstate,204
nextsecond,204
paper,204
big,203
total,203
_sx,202
_sy,202
digend,202
dojump,202
tick_frames,202
_fcount,201
point,201
growheight,200
growdirection,199
hunger,199
qblocky,199
waitgrowcount,199
lightmod,198
startx,198
choice,197
play,197
qblockcounter,197
qblockx,197
rock,196
scroll_x,196
z,195
_mobmul,194
@place,193
_chat,193
_lsy,193
_x,193
item,193
last respawn,192
offset,192
lagdetect,191
ssc,191
ticksend,191
last say,190
startmusic,190
scissors,188
currentnumber,187
o,187
part,187
users,187
stage,186
_health_s,185
c2,185
check,185
cloneid,185
punts,184
lasthealth,183
ok,182
?????? ??????,181
tool,181
attack,180
angle,179
custumewalk,178
_sound,177
_spritecount,176
clone id,176
y speed,176
onwall,175
correct,174
max,172
???,171
characters,171
dx,171
_lsx,170
bulletlaunchershootcounter,169
falling?,168
game over,168
height,168
damage,167
movebulletdistance,166
speed x,166
vel,166
action,165
tick,165
k,163
onladder,163
lights,162
position,162
rank,162
scroll,161
win,161
_airlevel,160
slide,159
-,158
dy,158
lastair,158
_debug,157
_refdata,157
_refpool,157
dist,157
sequence,157
velocidad,157
_levelref,156
death,156
altitude,155
ix,155
var,155
_refsize,154
ii,154
iy,154
sand,154
throttle,154
_harvest,153
_inside,153
_ticktime,153
_waterlevel,153
get direction?,153
_grow,152
_heldc,152
_lightmod,152
cloneasid,152
growidx,152
_glight,151
_heldinvid,151
_maxharvest,151
_nextselid,151
energy,151
spin,151
_dmul,150
_invpos,150
_stevelight,150
break,150
framecount,150
nxtprogress,150
tofront,150
wasmode,150
_creative?,149
_dragsrcid,149
_insideidx,149
basetile,149
canflow,149
craftmul,149
drop_one,149
justplacedidx,149
siit,149
spacedown,149
_save_list,148
i_c,148
isblock_s,148
isblockp,148
changemode,147
isblock_c,147
lx,147
maxstack,147
pi,147
player 2 score,147
sis_typ,147
highscore,146
gender,144
rand,144
round,144
scroll_y,144
sin,143
items,142
player 1 score,142
fall,141
fuel,141
players,141
w,141
y-velocity,140
jump height,139
you,139
??????????,138
account,138
inlava,138
weapon,138
_forcedelay,137
_knockback,137
_maxmobs,137
_nextspawn,137
_spawnarea,137
_survival,137
dir_s,137
fallheight_s,137
healthregen,137
hurtingp,137
i_co,137
i_g,137
i_ii,137
i_t,137
light_p,137
mobpool,137
spwn_idxs,137
t_co,137
tileidxp,137
total_g,137
typp,137
y_g,137
_explode,136
_lightprob,136
_speak,136
checktile_pr,136
elapse,136
fightidx,136
i_iv,136
ii_c,136
invidx_c,136
isblock_pr,136
lastx_c,136
me,136
offset_ii,136
refidx_t,136
refit_pr,136
sg_i,136
t_pr,136
vy,136
_eating,135
_foodmul,135
_growtime,135
_max_reach,135
_maxmobsbad,135
_mobspawn,135
_nextharvest,135
count_pr,135
newtip,135
ofy_p,135
refidx_pr,135
seed,135
sg_count,135
_clearharvestidx,134
_lighting?,134
_menu,134
endspeak,134
flowbase,134
isflymode,134
jumpheld,134
lastjumppress,134
player health,134
scroll x,134
sg_n,134
sg_tileidx,134
sg_ts_i,134
side,134
stuck_s,134
t_s,134
vides,134
xpos,134
_biomeid,133
_damagearmor,133
_gen_version,133
_random,133
_respawnidx,133
_scrx,133
buttonid,133
counts,133
larm,133
slice,133
stuckin,133
_lcopy,132
_tempstore,132
backarm,132
bmul,132
bowpull,132
buttonmax,132
data2,132
end,132
i_z3,132
larmtick,132
m,132
newtime,132
pr_hl_idx,132
strength,132
tile_pr,132
touch,132
voff,132
_keydelaytrick,131
_randidx,131
defensepoints,131
invposid,131
mobcount,131
savidx,131
token,131
??????????????????,130
__lastsky,130
_block_data,130
_chunk_seed,130
_defensemul,130
_mdmul,130
_mob100,130
_randomseed,130
_respawnseed,130
_xray,130
allegiance,130
biometype,130
caverns,130
chunkstart,130
example words,130
inwater,130
isblock_y,130
keydelay,130
lastarmour,130
lastrand,130
lastwalkstep,130
loadingchunk,130
portaltime,130
randval,130
rndstack,130
savchkidx,130
savechunks,130
sg_format,130
sg_str,130
sg_tile,130
showflymode,130
statep,130
steps,130
story,130
tile_size,130
vmul,130
water tile id,130
bringtolife,129
data3,129
drop_item,129
gt_i,129
lastarmsoundtick,129
lighte,129
lightn,129
lightw,129
pr_tool,129
reftile_pr,129
saturation,129
_tooltipid,128
_tooltipwait,128
night,128
store2,128
_hunger,127
_skin,127
map_height,127
map_width,127
weather type,127
3,126
_foodsaturation,126
backleg,126
checker,126
cookies,126
dev_create,126
g_worldsize,126
kills,126
store1,126
store3,126
store4,126
store5,126
temps,126
w sx,126
w sy,126
weather time,126
xx_g,126
assets,125
fifa points,125
score:,125
tiempo,125
hit wait,124
lasthunger,124
maze,124
talk#,124
full_hack,123
letters,123
swing,123
volume:,123
xstart,123
.,122
boss,122
character,122
lifes,122
ystart,122
eaten,121
page,121
words,121
loop,120
record,120
seconds,120
found,119
jumping,119
variable,119
zooming,119
readidx,118
siz,118
your health,118
??? score,117
clircles:,117
fps,117
ground,117
visible,117
grounded,116
high score table,116
red,116
show,116
st,116
var2,116
??? player_20,115
collects,115
value,115
levelsize,114
test,114
x speed,114
clicks,113
food,113
room,113
song,113
walljumpenabled?,113
bad,112
cm,112
time played,112
virus,112
your team,112
lw,111
mi,111
movement,111
lcm,110
rb,110
store11,110
store12,110
code_12k_fp,109
code_1k_fp,109
code_1kk_coins,109
code_3kk_coins,109
code_gift,109
crush,109
gk,109
lb,109
lcb,109
made basket,109
page_club,109
rcb,109
rcm,109
rw,109
sell_price1,109
sell_price2,109
sell_price3,109
sell_price4,109
store1-space,109
store10,109
store10-space,109
store11-space,109
store12-space,109
store13,109
store13-space,109
store14,109
store14-space,109
store15,109
store15-space,109
store16,109
store16-space,109
store17,109
store17-space,109
store18,109
store18-space,109
store19,109
store19-space,109
store2-space,109
store20,109
store20-space,109
store3-space,109
store4-space,109
store5-space,109
store6,109
store6-space,109
store7,109
store7-space,109
store8,109
store8-space,109
store9,109
store9-space,109
suffix,109
ypos,109
boss hp,108
mask,108
turbo?,108
??? time played (minutes),107
blue,107
fmul,107
jump key,107
layers,107
packs_page,107
splitkey,107
@get direction,106
camera,106
die,106
meseq,106
min distance,106
yi,106
youhue,106
clone type,104
my games,104
po??ng,104
??? high score,103
backdrop,103
filtered chat,103
question,103
sum,103
enemy health,102
text,102
map,101
moving,101
velocityy,101
warning,101
??? save_number,100
_timer,100
coins_save,100
fp_save,100
moving?,100
nick_save,100
sho,100
transparent_howtogetvip,100
zmienna_buyplayers,100
~~zfl: my pen blue,100
~~zfl: my pen green,100
~~zfl: my pen red,100
4,99
ascii,99
isfiltered,99
len,99
chatting,98
frogs,98
gameon,98
locked?,98
