projectid,number_of_spaces
10541430,0
12030146,1
12441584,0
12683181,0
13223646,2
14073938,0
14137046,0
15032542,0
15086346,0
15141278,0
15296441,0
15529084,0
15548188,1
15649432,1
15819951,0
16306675,1
16661984,2
17647115,2
18312831,0
18560469,0
18560642,0
18763210,0
18806652,1
18851372,0
18856080,0
19531164,0
19589342,0
20708751,0
21114832,0
21482185,0
21532395,0
21578441,0
21672166,0
21890116,4
21915960,1
22175345,6
22416667,0
22656427,0
22705735,0
22890514,0
23105860,0
23341439,0
23476512,0
23809738,0
23830376,1
23879428,0
23887080,3
24047905,0
24084689,0
24390947,1
24622443,0
24636049,0
24637739,2
24640285,0
24649469,1
24694037,2
24771716,1
24900909,0
24953287,0
24969221,0
24993228,2
25020672,0
25076484,1
25142995,2
25147453,1
25197119,0
25240321,3
25320277,0
25374437,0
25395006,0
25406890,0
25473707,1
25498751,3
25602886,0
25625107,0
25720451,2
25772183,2
25815083,0
25844882,0
25990996,0
26121843,0
26126817,0
26344392,2
26370363,4
26593959,0
26806875,0
27045251,3
27096816,2
27221990,0
27326971,0
27614464,0
27905296,2
27914952,0
27994756,0
28325724,2
28634828,1
28815960,0
29219562,0
29417620,0
29728994,0
29809934,2
30708070,0
30926608,0
31424632,0
31800410,1
31989118,1
32197274,1
32263244,0
32263284,0
32352560,0
32406678,0
32958994,4
33221272,0
34013132,0
34074728,0
34177226,1
34391396,0
34565450,0
34721442,0
35071880,1
35177576,0
35388194,0
35545694,1
35730094,1
35732416,2
35742354,1
35809960,0
35956952,0
36057896,3
36189346,0
36221392,2
36283838,2
36781778,0
36839068,0
37179870,1
37312452,1
37361186,0
37417244,0
37655224,2
38119994,0
38337954,1
38616786,0
39034334,0
39356130,0
39549744,0
39655788,0
39746358,0
39761092,1
40017722,1
40376006,1
40699482,0
40768792,0
40862180,0
40937008,2
41060588,1
41167506,0
41283078,0
41359706,0
41484116,1
42071848,1
42182900,0
42201082,0
42478168,0
42573920,0
43330140,1
43489824,0
43764712,0
43940108,0
44102872,1
44307378,1
44595632,0
44609024,0
44851668,0
44928800,0
45225156,1
45500172,0
45931442,1
45970016,0
45999482,1
46124900,0
46548164,0
46759026,1
46772794,0
46869428,2
46894728,0
46942454,0
47093646,0
47150834,1
47179114,0
47210984,0
47219418,0
47310980,0
47359712,0
47490042,2
47559104,0
47839638,0
47868240,1
48035270,2
48267518,0
48277436,0
48287170,0
48478086,0
48504792,0
48606098,1
48606472,0
48951390,0
48995274,2
48999100,0
49037910,2
49226678,1
49477556,0
49559672,0
49642736,3
49667454,0
49716864,0
49725060,0
49895852,0
49963492,0
50034130,0
50053412,1
50134766,0
50142052,1
50144382,0
50154330,0
50160672,0
50202496,0
50205796,3
50270686,0
50281862,3
50387312,1
50437642,0
50532006,0
50699446,0
50792796,0
50894220,0
50919466,0
51060046,1
51171384,1
51198222,1
51238824,3
51317164,0
51467618,0
51499148,0
51499626,0
51557968,0
51681128,0
51740382,3
51767416,0
51774908,1
51921740,0
51943172,0
51982544,1
51992270,1
52017110,0
52149508,1
52222004,0
52245786,0
52296882,2
52392484,0
52404502,1
52583188,3
52585314,1
52675524,1
52684334,0
52901944,0
53122818,0
53123554,0
53123642,0
53156708,0
53195984,2
53275470,0
53280160,0
53504692,0
53512848,0
53515180,0
53603782,1
53622424,0
53722958,0
53742096,1
54133284,0
54207596,1
54394522,2
54495760,0
54589244,0
54648234,0
54723732,2
54742840,1
54766492,3
54889522,0
54891392,0
54927522,1
54938606,1
54976676,0
55091172,0
55118150,0
55289240,0
55407016,2
55410994,3
55425560,0
55434408,1
55434524,0
55434620,0
55434624,1
55496652,0
55507180,1
55507204,0
55537738,0
55618936,0
55717620,0
55794624,2
55817542,0
55821526,1
56064304,0
56620608,2
56662726,0
56701214,2
56809358,0
56819890,0
56897056,0
56938360,1
57185216,0
57308428,1
57403718,1
57446500,0
57566042,1
57588980,2
57648344,1
57749400,1
57802458,3
57822922,0
57955838,0
57969800,0
58115460,0
58151856,1
58214738,0
58398274,0
58566798,0
58595696,0
58640448,1
58673320,0
58699690,1
58922178,0
59024442,1
59032342,0
59467170,0
59509914,0
59683304,0
60034304,0
60058876,0
60063608,1
60074986,2
60082620,0
60122018,0
60145364,0
60234624,0
60440188,2
60505632,2
60530658,0
60538568,0
60640752,2
60664714,1
60771904,1
60905034,0
60909718,1
61101312,1
61103088,0
61298472,0
61341624,1
61367188,0
61408310,1
61412810,0
61438162,0
61442058,1
61442068,0
61580118,0
61590618,2
61731232,1
61842086,2
61903538,1
62048560,0
62239456,2
62579570,1
62599884,0
62688614,1
62730664,0
62821894,0
62927100,0
62997550,0
63092156,0
63208464,0
63216534,2
63309772,0
63332314,1
63458244,0
63483562,1
63489626,0
63509160,0
63520970,0
63532024,1
63572214,1
63583108,0
63820734,2
63827286,2
63841116,2
63940210,2
64033414,0
64104958,0
64132318,0
64268116,1
64438746,4
64648936,1
64804910,0
64927536,0
64961006,1
65070670,0
65218632,0
65291392,2
65346888,0
65374616,0
65378418,1
65383486,2
65389446,0
65559526,0
65571514,2
65604376,0
65629438,0
65657412,0
65662834,0
65682854,0
65697846,0
65711642,0
65789766,2
65793858,2
65817714,3
65820326,1
65869616,1
65873222,2
65934672,0
65984464,0
66123158,0
66135664,0
66213566,0
66251582,0
66326046,0
66424596,0
66505726,0
66505772,0
66566608,0
66626180,0
66632950,1
66633704,2
66719534,0
66734298,1
66772702,0
66778072,0
66831314,0
67031514,0
67053456,1
67163354,1
67175786,1
67176416,1
67222036,1
67250604,3
67289366,0
67371342,5
67375342,0
67385586,0
67390456,0
67390460,0
67392196,0
67397306,1
67416190,0
67454306,4
67532736,0
67540716,1
67552448,0
67569874,1
67617018,1
67617220,0
67675426,1
67680802,1
67751080,0
67808832,0
67816484,1
67852544,1
68014028,0
68217296,0
68231200,0
68259574,1
68315994,0
68329672,1
68358846,1
68360986,0
68445698,0
68517812,0
68520912,0
68538810,1
68571162,1
68574672,0
68589288,0
68631528,0
68668572,0
68741454,0
68782374,0
68787348,2
68797216,0
68803132,0
68805542,1
68886174,0
69001308,0
69004564,0
69049368,1
69069074,0
69115968,1
69174204,0
69187486,0
69237728,0
69244808,0
69259104,0
69315414,0
69366860,0
69462662,0
69465924,0
69503054,0
69528256,0
69541952,0
69576526,0
69779806,0
69817732,0
69865066,0
69915472,1
69927206,0
69936790,0
70002764,0
70042202,1
70163792,0
70261618,2
70278126,0
70335226,0
70405462,0
70431976,0
70448194,2
70550266,0
70710602,0
70831386,1
70836856,1
70844610,0
70862498,0
70875756,0
70887092,0
70900442,1
70948480,1
70965238,0
70979586,1
71069532,0
71215606,1
71255810,0
71256508,0
71259014,0
71317504,0
71322934,1
71368820,1
71440116,1
71487970,5
71794960,0
71824144,2
71830622,0
71837028,1
71849100,0
71855620,0
71996444,0
72002610,3
72044414,0
72117056,0
72176426,0
72177810,0
72292698,1
72294462,1
72312326,0
72395570,1
72395598,0
72432104,0
72466068,0
72468886,2
72485686,1
72512944,0
72710420,0
72736356,10
72770710,1
72782820,0
72801564,0
72901322,1
72912232,1
72963924,0
73018016,0
73082520,0
73104892,0
73146276,1
73159092,0
73216126,0
73248494,1
73384426,0
73402794,0
73545316,1
73593928,0
73622146,0
73640938,0
73676782,1
73706090,1
73712872,2
73722098,0
73767192,0
73768194,3
73785714,0
73831134,0
73832656,1
73837786,0
73857814,0
73926416,1
73967338,1
73984952,0
73995118,0
74061992,0
74095792,0
74156940,0
74166074,0
74169660,0
74202234,1
74204270,1
74204598,2
74273134,0
74296358,0
74305116,0
74333978,2
74377482,0
74420094,1
74577352,0
74581638,0
74628860,1
74638988,0
74681602,0
74779012,1
74788328,0
74828942,0
74846810,0
74936880,0
74942592,0
74975290,0
74987888,0
75008944,1
75018084,0
75034502,3
75043920,0
75096354,1
75108970,2
75165370,0
75182852,0
75294786,3
75308870,0
75311322,2
75338642,0
75383798,2
75399562,0
75427466,1
75514266,0
75517390,0
75530994,0
75537896,1
75557068,3
75700874,0
75702902,0
75725816,1
75739198,1
75813934,1
75871164,0
75912984,1
75983442,1
76052524,6
76076328,0
76110898,1
76236234,1
76247924,0
76261494,0
76272258,0
76284444,0
76284762,0
76289604,0
76338434,0
76358152,0
76370674,2
76402064,1
76408784,0
76426184,1
76441260,2
76449678,1
76482790,0
76488520,1
76488918,0
76521156,0
76539946,0
76587934,0
76628616,0
76731068,0
76734366,1
76762126,0
76805110,2
76876062,0
76930538,0
76934024,0
77003396,4
77006796,0
77019596,0
77113784,0
77165612,2
77185078,0
77319044,0
77321476,0
77350244,0
77367788,2
77382850,0
77442584,0
77479364,0
77496916,0
77555944,0
77564352,2
77573576,1
77629488,0
77677806,0
77701626,1
77746618,0
77748144,0
77758294,1
77764864,1
77994434,3
78012120,3
78146398,2
78149676,1
78206276,1
78214116,1
78214482,0
78218610,1
78239220,0
78296760,0
78307918,0
78327242,1
78333956,0
78354978,2
78451410,1
78453120,2
78558018,2
78577172,0
78598432,0
78690984,0
78704342,1
78704684,0
78704714,0
78710914,0
78724826,1
78727634,7
78758554,1
78781354,0
78797518,1
78822210,0
78845776,0
78848624,1
78877696,0
78886776,1
78892510,1
78895526,1
78897420,1
78979766,1
78990936,0
79069150,0
79109494,0
79115422,3
79149214,0
79158218,0
79230054,0
79231148,0
79234322,1
79246118,3
79275844,0
79358330,1
79377150,1
79415400,0
79528360,0
79554984,2
79563048,0
79652562,1
79693910,2
79777052,1
79787150,0
79794720,1
79809448,2
79842742,0
79859604,2
79998338,0
80010700,0
80049464,2
80085808,2
80094238,0
80097460,0
80138676,2
80143330,2
80157440,2
80166812,1
80198764,0
80204088,0
80204980,1
80206898,1
80207970,2
80212800,0
80312994,0
80340608,0
80383040,0
80450306,1
80500408,0
80507256,1
80537118,0
80590688,2
80681574,0
80688290,0
80722892,3
80760590,1
80761272,0
80773850,1
80836706,0
80851610,0
80939978,0
80942322,1
80945440,0
81040824,0
81219604,0
81244672,2
81264946,1
81309432,1
81322756,0
81332082,1
81351232,0
81366568,0
81448964,1
81450002,0
81462656,1
81478728,0
81528926,1
81545666,0
81580136,1
81588806,0
81599174,0
81602722,0
81624084,0
81648742,0
81661238,3
81672740,0
81685146,0
81775406,0
81803176,0
81835438,1
81837550,0
81842846,1
81927650,1
81958616,2
81997772,0
81999478,1
82015014,0
82059844,1
82131844,0
82151330,1
82209476,0
82226794,1
82241588,0
82263470,0
82268510,0
82326550,0
82351170,2
82371172,0
82375964,0
82464238,0
82489438,0
82492814,0
82510486,0
82542764,0
82592450,0
82622270,0
82623284,0
82642564,0
82670366,0
82761026,2
82772668,1
82799546,0
82801898,0
82828214,0
82868652,0
82931902,1
82944404,0
82992112,0
83032324,0
83086436,0
83099862,7
83100870,0
83117676,0
83127758,0
83167430,0
83234388,0
83332326,1
83332954,0
83368276,0
83439384,0
83534656,0
83541468,0
83557590,1
83688346,0
83707924,0
83785304,0
83833746,0
83872152,4
83882516,0
83903014,0
83995026,0
84002526,1
84004564,0
84063494,0
84073824,1
84094412,0
84108396,0
84114090,0
84122010,0
84142450,0
84165528,0
84226488,0
84256362,2
84256832,0
84302994,2
84323018,0
84372148,0
84381756,0
84387500,0
84420836,0
84475270,1
84516768,0
84550206,0
84567138,0
84569702,0
84574392,0
84589612,1
84596054,1
84600964,0
