projectid,varname
10541430,1
12030146,9
12441584,2
12683181,3
13223646,10
14073938,1
14137046,6
15032542,1
15086346,6
15141278,1
15296441,1
15529084,1
15548188,5
15649432,7
15819951,1
16306675,3
16661984,254
17647115,12
18312831,3
18560469,2
18560642,1
18763210,2
18806652,2
18851372,2
18856080,3
19531164,1
19589342,2
20708751,4
21114832,2
21482185,1
21532395,3
21578441,1
21672166,2
21890116,20
21915960,2
22175345,2
22416667,1
22656427,2
22705735,3
22890514,1
23105860,1
23341439,2
23476512,1
23809738,1
23830376,7
23879428,1
23887080,35
24047905,1
24084689,2
24390947,5
24622443,1
24636049,12
24637739,4
24640285,3
24649469,2
24694037,181
24771716,1
24900909,1
24953287,5
24969221,1
24993228,4
25020672,3
25076484,2
25142995,259
25147453,2
25197119,1
25240321,13
25320277,2
25374437,1
25395006,9
25406890,4
25473707,5
25498751,35
25602886,2
25625107,1
25720451,2
25772183,259
25815083,3
25844882,1
25990996,1
26121843,1
26126817,2
26344392,10
26370363,13
26593959,2
26806875,2
27045251,3
27096816,3
27221990,1
27326971,1
27614464,4
27905296,4
27914952,4
27994756,4
28325724,28
28634828,7
28815960,2
29219562,2
29417620,1
29728994,1
29809934,52
30708070,2
30926608,1
31424632,1
31800410,2
31989118,3
32197274,3
32263244,5
32263284,9
32352560,1
32406678,1
32958994,8
33221272,3
34013132,3
34074728,3
34177226,1
34391396,2
34565450,5
34721442,1
35071880,9
35177576,1
35388194,1
35545694,1
35730094,1
35732416,5
35742354,6
35809960,1
35956952,2
36057896,13
36189346,1
36221392,3
36283838,1
36781778,3
36839068,2
37179870,7
37312452,3
37361186,1
37417244,9
37655224,6
38119994,1
38337954,3
38616786,2
39034334,3
39356130,3
39549744,2
39655788,13
39746358,1
39761092,2
40017722,3
40376006,18
40699482,94
40768792,2
40862180,2
40937008,11
41060588,19
41167506,1
41283078,1
41359706,8
41484116,2
42071848,2
42182900,1
42201082,2
42478168,2
42573920,12
43330140,2
43489824,2
43764712,2
43940108,1
44102872,5
44307378,2
44595632,1
44609024,5
44851668,2
44928800,6
45225156,3
45500172,2
45931442,10
45970016,2
45999482,9
46124900,2
46548164,2
46759026,9
46772794,1
46869428,7
46894728,1
46942454,1
47093646,2
47150834,3
47179114,1
47210984,2
47219418,1
47310980,1
47359712,2
47490042,1
47559104,2
47839638,2
47868240,2
48035270,13
48267518,2
48277436,3
48287170,6
48478086,3
48504792,1
48606098,2
48606472,2
48951390,5
48995274,6
48999100,1
49037910,6
49226678,5
49477556,12
49559672,5
49642736,10
49667454,2
49716864,1
49725060,1
49895852,3
49963492,3
50034130,1
50053412,2
50134766,2
50142052,1
50144382,1
50154330,1
50160672,4
50202496,4
50205796,4
50270686,3
50281862,5
50387312,18
50437642,2
50532006,1
50699446,2
50792796,2
50894220,7
50919466,3
51060046,3
51171384,4
51198222,5
51238824,9
51317164,2
51467618,1
51499148,1
51499626,2
51557968,2
51681128,1
51740382,125
51767416,1
51774908,4
51921740,4
51943172,4
51982544,10
51992270,5
52017110,3
52149508,21
52222004,2
52245786,3
52296882,5
52392484,5
52404502,24
52583188,58
52585314,4
52675524,2
52684334,1
52901944,1
53122818,5
53123554,2
53123642,4
53156708,4
53195984,3
53275470,1
53280160,1
53504692,1
53512848,1
53515180,2
53603782,2
53622424,5
53722958,2
53742096,3
54133284,1
54207596,15
54394522,17
54495760,2
54589244,1
54648234,6
54723732,4
54742840,11
54766492,110
54889522,1
54891392,1
54927522,3
54938606,1
54976676,1
55091172,1
55118150,1
55289240,1
55407016,2
55410994,3
55425560,1
55434408,13
55434524,6
55434620,1
55434624,17
55496652,2
55507180,12
55507204,1
55537738,21
55618936,1
55717620,2
55794624,20
55817542,1
55821526,3
56064304,8
56620608,1
56662726,6
56701214,15
56809358,2
56819890,1
56897056,7
56938360,2
57185216,2
57308428,1
57403718,1
57446500,6
57566042,4
57588980,33
57648344,9
57749400,2
57802458,3
57822922,1
57955838,1
57969800,3
58115460,1
58151856,2
58214738,1
58398274,17
58566798,1
58595696,1
58640448,2
58673320,28
58699690,28
58922178,4
59024442,7
59032342,1
59467170,2
59509914,2
59683304,2
60034304,1
60058876,6
60063608,2
60074986,9
60082620,3
60122018,2
60145364,2
60234624,1
60440188,11
60505632,5
60530658,1
60538568,6
60640752,4
60664714,14
60771904,13
60905034,2
60909718,82
61101312,3
61103088,13
61298472,2
61341624,3
61367188,2
61408310,2
61412810,1
61438162,2
61442058,1
61442068,1
61580118,1
61590618,3
61731232,6
61842086,33
61903538,2
62048560,1
62239456,22
62579570,1
62599884,1
62688614,4
62730664,2
62821894,2
62927100,1
62997550,2
63092156,1
63208464,1
63216534,2
63309772,2
63332314,4
63458244,2
63483562,10
63489626,1
63509160,1
63520970,1
63532024,11
63572214,5
63583108,2
63820734,1
63827286,3
63841116,61
63940210,25
64033414,3
64104958,2
64132318,1
64268116,13
64438746,97
64648936,2
64804910,37
64927536,2
64961006,4
65070670,3
65218632,2
65291392,5
65346888,8
65374616,1
65378418,2
65383486,7
65389446,2
65559526,5
65571514,14
65604376,1
65629438,6
65657412,1
65662834,1
65682854,3
65697846,2
65711642,2
65789766,19
65793858,2
65817714,2
65820326,5
65869616,7
65873222,2
65934672,2
65984464,1
66123158,1
66135664,1
66213566,2
66251582,3
66326046,1
66424596,13
66505726,1
66505772,1
66566608,1
66626180,1
66632950,1
66633704,36
66719534,2
66734298,5
66772702,111
66778072,1
66831314,1
67031514,1
67053456,2
67163354,9
67175786,2
67176416,10
67222036,3
67250604,32
67289366,2
67371342,2
67375342,4
67385586,3
67390456,3
67390460,3
67392196,7
67397306,2
67416190,2
67454306,13
67532736,2
67540716,2
67552448,1
67569874,4
67617018,5
67617220,4
67675426,6
67680802,4
67751080,1
67808832,2
67816484,4
67852544,2
68014028,1
68217296,1
68231200,1
68259574,1
68315994,1
68329672,2
68358846,1
68360986,8
68445698,2
68517812,1
68520912,2
68538810,2
68571162,9
68574672,5
68589288,1
68631528,2
68668572,2
68741454,1
68782374,1
68787348,40
68797216,2
68803132,1
68805542,9
68886174,1
69001308,6
69004564,2
69049368,4
69069074,29
69115968,2
69174204,1
69187486,4
69237728,2
69244808,1
69259104,1
69315414,2
69366860,3
69462662,2
69465924,1
69503054,1
69528256,1
69541952,1
69576526,1
69779806,2
69817732,6
69865066,1
69915472,5
69927206,2
69936790,1
70002764,2
70042202,141
70163792,1
70261618,62
70278126,2
70335226,3
70405462,1
70431976,3
70448194,32
70550266,1
70710602,6
70831386,5
70836856,2
70844610,2
70862498,1
70875756,1
70887092,1
70900442,4
70948480,2
70965238,2
70979586,1
71069532,3
71215606,3
71255810,2
71256508,6
71259014,3
71317504,2
71322934,2
71368820,9
71440116,3
71487970,38
71794960,5
71824144,2
71830622,3
71837028,93
71849100,3
71855620,1
71996444,1
72002610,30
72044414,6
72117056,1
72176426,1
72177810,4
72292698,3
72294462,20
72312326,1
72395570,3
72395598,1
72432104,1
72466068,5
72468886,10
72485686,7
72512944,1
72710420,4
72736356,27
72770710,2
72782820,2
72801564,1
72901322,2
72912232,3
72963924,1
73018016,1
73082520,2
73104892,1
73146276,4
73159092,5
73216126,1
73248494,14
73384426,1
73402794,1
73545316,70
73593928,1
73622146,1
73640938,4
73676782,74
73706090,9
73712872,11
73722098,1
73767192,17
73768194,1
73785714,2
73831134,3
73832656,2
73837786,3
73857814,1
73926416,2
73967338,1
73984952,20
73995118,1
74061992,1
74095792,3
74156940,1
74166074,1
74169660,4
74202234,9
74204270,141
74204598,272
74273134,2
74296358,1
74305116,2
74333978,5
74377482,3
74420094,10
74577352,1
74581638,1
74628860,8
74638988,1
74681602,2
74779012,4
74788328,1
74828942,1
74846810,2
74936880,2
74942592,3
74975290,1
74987888,2
75008944,3
75018084,2
75034502,15
75043920,1
75096354,29
75108970,3
75165370,3
75182852,3
75294786,124
75308870,1
75311322,2
75338642,1
75383798,6
75399562,1
75427466,2
75514266,2
75517390,1
75530994,1
75537896,10
75557068,32
75700874,1
75702902,2
75725816,4
75739198,4
75813934,7
75871164,1
75912984,9
75983442,2
76052524,1
76076328,3
76110898,3
76236234,141
76247924,4
76261494,1
76272258,2
76284444,1
76284762,1
76289604,1
76338434,3
76358152,1
76370674,2
76402064,14
76408784,4
76426184,2
76441260,2
76449678,29
76482790,1
76488520,2
76488918,3
76521156,1
76539946,1
76587934,1
76628616,3
76731068,1
76734366,6
76762126,1
76805110,1
76876062,4
76930538,1
76934024,1
77003396,46
77006796,1
77019596,1
77113784,1
77165612,8
77185078,3
77319044,2
77321476,1
77350244,2
77367788,4
77382850,1
77442584,2
77479364,1
77496916,2
77555944,2
77564352,3
77573576,6
77629488,1
77677806,1
77701626,3
77746618,4
77748144,1
77758294,2
77764864,8
77994434,31
78012120,5
78146398,13
78149676,66
78206276,2
78214116,17
78214482,159
78218610,24
78239220,1
78296760,2
78307918,1
78327242,70
78333956,2
78354978,3
78451410,1
78453120,108
78558018,2
78577172,1
78598432,1
78690984,1
78704342,9
78704684,1
78704714,2
78710914,1
78724826,4
78727634,11
78758554,1
78781354,1
78797518,5
78822210,1
78845776,2
78848624,12
78877696,1
78886776,14
78892510,1
78895526,4
78897420,4
78979766,9
78990936,2
79069150,1
79109494,2
79115422,28
79149214,2
79158218,2
79230054,1
79231148,1
79234322,10
79246118,71
79275844,1
79358330,5
79377150,1
79415400,32
79528360,8
79554984,7
79563048,1
79652562,11
79693910,10
79777052,3
79787150,1
79794720,19
79809448,6
79842742,2
79859604,1
79998338,45
80010700,1
80049464,20
80085808,33
80094238,1
80097460,2
80138676,5
80143330,5
80157440,6
80166812,2
80198764,2
80204088,1
80204980,1
80206898,1
80207970,23
80212800,1
80312994,3
80340608,1
80383040,2
80450306,4
80500408,3
80507256,7
80537118,5
80590688,12
80681574,16
80688290,3
80722892,2
80760590,1
80761272,1
80773850,3
80836706,1
80851610,2
80939978,2
80942322,24
80945440,3
81040824,4
81219604,1
81244672,13
81264946,1
81309432,2
81322756,1
81332082,2
81351232,4
81366568,1
81448964,3
81450002,2
81462656,122
81478728,2
81528926,2
81545666,3
81580136,5
81588806,5
81599174,2
81602722,1
81624084,1
81648742,1
81661238,31
81672740,2
81685146,3
81775406,1
81803176,1
81835438,3
81837550,2
81842846,3
81927650,7
81958616,1
81997772,1
81999478,4
82015014,1
82059844,3
82131844,1
82151330,2
82209476,2
82226794,2
82241588,1
82263470,2
82268510,11
82326550,2
82351170,6
82371172,3
82375964,7
82464238,1
82489438,2
82492814,1
82510486,2
82542764,1
82592450,16
82622270,2
82623284,2
82642564,1
82670366,60
82761026,8
82772668,4
82799546,1
82801898,1
82828214,4
82868652,1
82931902,2
82944404,1
82992112,2
83032324,2
83086436,11
83099862,4
83100870,1
83117676,1
83127758,1
83167430,1
83234388,1
83332326,3
83332954,6
83368276,4
83439384,18
83534656,1
83541468,1
83557590,31
83688346,3
83707924,1
83785304,9
83833746,1
83872152,1
83882516,3
83903014,2
83995026,3
84002526,3
84004564,1
84063494,2
84073824,2
84094412,5
84108396,1
84114090,1
84122010,3
84142450,3
84165528,1
84226488,1
84256362,4
84256832,1
84302994,5
84323018,1
84372148,1
84381756,3
84387500,1
84420836,3
84475270,2
84516768,1
84550206,2
84567138,2
84569702,2
84574392,2
84589612,9
84596054,2
84600964,1
84603690,4
84644112,1
84698820,2
84727684,1
84744752,18
84758894,4
84800628,1
84810830,1
84818348,1
84830140,6
84837714,1
84840504,1
84877092,4
84890940,4
84979888,1
85020820,8
85043290,3
85058450,1
85112466,1
85192622,1
85201222,1
85209096,1
85256186,3
85258594,8
85271650,5
85435476,1
85456724,1
85486002,1
85501608,1
85537222,1
85539074,2
85615754,1
85710362,1
85765622,2
85772344,1
85790314,2
85835060,2
85891158,1
85957972,2
85986200,1
86026242,2
86029482,1
86039574,1
86058530,11
86083702,4
86108942,3
86115358,3
86144532,2
86174440,11
86180676,5
86199259,2
86201694,2
86224037,2
86244215,2
86292678,1
86308599,1
86331357,2
86342295,1
86371426,12
86385061,7
86394931,8
86397346,2
86419580,2
86458556,9
86466873,1
86481604,8
86493143,3
86495042,1
86500486,2
86531565,1
86536347,1
86543799,12
86544787,13
86545167,22
86565359,4
