ch,Cupper,Clower,JSupper,JSlower,Javaupper,Javalower,PHPupper,PHPlower,perlupper,perllower
a,213,4426,5798,38270,74,3541,141,3491,1323,712
b,189,5405,5398,41247,38,2624,110,1554,1065,809
c,195,13061,5756,43888,50,4541,34,3524,1194,399
d,139,5527,5075,47860,22,1717,46,1152,1113,238
e,91,3849,5429,52312,5,2603,10,5733,1240,103
f,25,5659,4789,37447,3,2035,15,994,564,201
g,18,1175,4626,30530,12,521,66,185,425,550
h,214,3648,4265,30064,9,1025,173,641,480,74
i,58,120135,4167,93374,26,40269,1991,15386,6,9244 
j,27,14260,3624,23874,1,4368,6,1779,0,2609 
k,159,4319,3479,19952,16,1337,74,954,378,237
l,236,3728,3750,29202,44,1509,83,2050,82,100
m,167,4044,3735,19256,4,2150,73,2230,8,120
n,251,15598,3698,35321,219,2875,5,1604,45,290
o,5,1450,3353,25755,0,2221,0,2133,4,354
p,296,29691,3148,15228,19,2865,28,2311,7,67
q,43,4150,2951,10806,2,903,23,1864,0,22
r,125,14064,3018,31669,17,2547,154,3626,106,221
s,150,12454,3243,27448,7,3777,31,2317,632,276
t,116,5973,3188,27533,13,2456,26,3589,1338,149
u,62,974,2539,15383,24,394,33,283,0,118
v,73,5128,2544,10780,25,1955,88,1601,1303,15226
w,60,2528,2618,8936,15,815,0,736,0,31
x,181,5974,2578,12938,48,2566,106,2471,2004,240
y,185,3759,2647,10656,11,1658,87,1198,512,7
z,41,1835,2221,6496,12,250,2,202,0,86
